# BUSCO version is: 5.4.4 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1490892at2	Complete	1	2699618	2700376	-	46.0	88	https://www.orthodb.org/v10?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	1	120258	120908	+	132.7	129	https://www.orthodb.org/v10?query=1491686at2	adenylate kinase
1497415at2	Complete	1	1349141	1349656	+	29.8	22	https://www.orthodb.org/v10?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	1	2867272	2867889	-	257.2	186	https://www.orthodb.org/v10?query=1502854at2	guanylate kinase
1504821at2	Complete	1	1415724	1416653	+	179.2	214	https://www.orthodb.org/v10?query=1504821at2	Riboflavin biosynthesis protein
1505038at2	Complete	1	117744	118253	+	217.1	148	https://www.orthodb.org/v10?query=1505038at2	30S ribosomal protein S5
1540940at2	Complete	1	105268	105738	+	203.4	133	https://www.orthodb.org/v10?query=1540940at2	30S ribosomal protein S7
1567535at2	Complete	1	118973	120241	+	315.9	312	https://www.orthodb.org/v10?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	1	110543	111196	+	122.7	102	https://www.orthodb.org/v10?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	1	1291903	1292409	+	135.1	138	https://www.orthodb.org/v10?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	1	4201043	4201762	-	69.8	84	https://www.orthodb.org/v10?query=1590629at2	Ribosomal RNA small subunit methyltransferase G
1592033at2	Duplicated	1	939677	940960	+	461.7	373	https://www.orthodb.org/v10?query=1592033at2	GTPase HflX
1592033at2	Duplicated	1	2433406	2434677	-	448.7	370	https://www.orthodb.org/v10?query=1592033at2	GTPase HflX
1595498at2	Complete	1	1407208	1407669	+	48.0	46	https://www.orthodb.org/v10?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	1	2350925	2351638	-	272.2	186	https://www.orthodb.org/v10?query=1623045at2	30S ribosomal protein S2
1661836at2	Complete	1	27715	28314	+	169.4	151	https://www.orthodb.org/v10?query=1661836at2	recombination protein RecR
1666043at2	Complete	1	112694	113029	+	107.9	85	https://www.orthodb.org/v10?query=1666043at2	50S ribosomal protein L22
1671455at2	Complete	1	93689	94387	+	221.3	164	https://www.orthodb.org/v10?query=1671455at2	50S ribosomal protein L1
1674344at2	Complete	1	2348563	2349120	-	157.9	134	https://www.orthodb.org/v10?query=1674344at2	ribosome recycling factor
1676462at2	Complete	1	4013702	4014262	-	127.3	110	https://www.orthodb.org/v10?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	1	116348	116746	+	196.1	130	https://www.orthodb.org/v10?query=1692188at2	30S ribosomal protein S8
1698718at2	Complete	1	1350545	1350895	+	127.2	88	https://www.orthodb.org/v10?query=1698718at2	50S ribosomal protein L19
1701531at2	Complete	1	3980534	3981412	-	155.9	154	https://www.orthodb.org/v10?query=1701531at2	ATP synthase gamma chain
1702697at2	Complete	1	93193	93618	+	129.9	104	https://www.orthodb.org/v10?query=1702697at2	50S ribosomal protein L11
1707228at2	Complete	1	104722	105144	+	172.9	105	https://www.orthodb.org/v10?query=1707228at2	30S ribosomal protein S12
1713391at2	Complete	1	122911	123309	+	158.4	96	https://www.orthodb.org/v10?query=1713391at2	30S ribosomal protein S11
1720952at2	Complete	1	3541773	3542228	-	201.4	141	https://www.orthodb.org/v10?query=1720952at2	SsrA-binding protein
1758685at2	Complete	1	2687809	2688582	-	53.2	71	https://www.orthodb.org/v10?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	1	808830	809255	+	89.3	102	https://www.orthodb.org/v10?query=1760144at2	translation initiation factor IF-3
1766414at2	Complete	1	129298	129690	+	118.7	98	https://www.orthodb.org/v10?query=1766414at2	30S ribosomal protein S9
1772647at2	Complete	1	122504	122875	+	144.9	99	https://www.orthodb.org/v10?query=1772647at2	30S ribosomal protein S13
1776954at2	Complete	1	4191853	4192131	-	55.5	67	https://www.orthodb.org/v10?query=1776954at2	30S ribosomal protein S6
1786618at2	Complete	1	113903	114334	+	160.3	122	https://www.orthodb.org/v10?query=1786618at2	50S ribosomal protein L16
1799923at2	Complete	1	114843	115211	+	135.1	103	https://www.orthodb.org/v10?query=1799923at2	50S ribosomal protein L14
1822215at2	Complete	1	128838	129269	+	150.8	110	https://www.orthodb.org/v10?query=1822215at2	50S ribosomal protein L13
1822695at2	Complete	1	95174	95539	+	93.4	90	https://www.orthodb.org/v10?query=1822695at2	50S ribosomal protein L7/L12
1827295at2	Complete	1	206153	206605	+	71.1	65	https://www.orthodb.org/v10?query=1827295at2	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
1827334at2	Complete	1	2832157	2832711	-	94.6	80	https://www.orthodb.org/v10?query=1827334at2	methyltransferase
1830156at2	Complete	1	2692369	2692830	-	70.9	74	https://www.orthodb.org/v10?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	1	125010	125351	+	96.8	94	https://www.orthodb.org/v10?query=1838961at2	50S ribosomal protein L17
1842956at2	Complete	1	4076282	4077259	-	39.2	82	https://www.orthodb.org/v10?query=1842956at2	biotin--
1844275at2	Complete	1	252742	253662	+	157.6	167	https://www.orthodb.org/v10?query=1844275at2	aspartate carbamoyltransferase
1846503at2	Complete	1	2831658	2832155	-	113.7	106	https://www.orthodb.org/v10?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	1	118486	118929	+	75.4	94	https://www.orthodb.org/v10?query=1874945at2	50S ribosomal protein L15
1890943at2	Complete	1	1339889	1340599	+	75.5	106	https://www.orthodb.org/v10?query=1890943at2	ribonuclease III
1893906at2	Complete	1	112381	112662	+	128.5	71	https://www.orthodb.org/v10?query=1893906at2	30S ribosomal protein S19
1904463at2	Complete	1	1253544	1253834	+	121.4	66	https://www.orthodb.org/v10?query=1904463at2	50S ribosomal protein L27
1906715at2	Complete	1	2717247	2717867	-	45.8	67	https://www.orthodb.org/v10?query=1906715at2	Protein GrpE
1932144at2	Complete	1	809533	809889	+	111.6	92	https://www.orthodb.org/v10?query=1932144at2	50S ribosomal protein L20
1937072at2	Complete	1	1348469	1348741	+	112.8	69	https://www.orthodb.org/v10?query=1937072at2	30S ribosomal protein S16
1937493at2	Complete	1	3982959	3983504	-	113.0	156	https://www.orthodb.org/v10?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	1	4191136	4191363	-	90.3	50	https://www.orthodb.org/v10?query=1940575at2	30S ribosomal protein S18
1949059at2	Complete	1	1252887	1253198	+	136.8	99	https://www.orthodb.org/v10?query=1949059at2	50S ribosomal protein L21
1959318at2	Complete	1	4187254	4187703	-	79.1	85	https://www.orthodb.org/v10?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	1	117355	117723	+	143.8	102	https://www.orthodb.org/v10?query=1963491at2	50S ribosomal protein L18
1971380at2	Complete	1	1411447	1411827	+	133.1	121	https://www.orthodb.org/v10?query=1971380at2	ribosome-binding factor A
1978865at2	Complete	1	111196	111486	+	110.0	91	https://www.orthodb.org/v10?query=1978865at2	50S ribosomal protein L23
1990141at2	Complete	1	1416757	1417014	+	113.4	66	https://www.orthodb.org/v10?query=1990141at2	30S ribosomal protein S15
1990650at2	Complete	1	2791160	2791510	-	92.0	79	https://www.orthodb.org/v10?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	1	2730029	2730295	+	63.3	73	https://www.orthodb.org/v10?query=2005443at2	30S ribosomal protein S20
2012682at2	Complete	1	109511	109822	+	137.5	87	https://www.orthodb.org/v10?query=2012682at2	30S ribosomal protein S10
2035880at2	Complete	1	114563	114817	+	99.3	56	https://www.orthodb.org/v10?query=2035880at2	30S ribosomal protein S17
2040741at2	Complete	1	115232	115540	+	57.2	53	https://www.orthodb.org/v10?query=2040741at2	50S ribosomal protein L24
2046660at2	Complete	1	809283	809477	+	37.9	30	https://www.orthodb.org/v10?query=2046660at2	50S ribosomal protein L35
2063644at2	Complete	1	114336	114539	+	47.8	32	https://www.orthodb.org/v10?query=2063644at2	50S ribosomal protein L29
2066663at2	Complete	1	121984	122202	+	88.8	56	https://www.orthodb.org/v10?query=2066663at2	translation initiation factor IF-1
2075502at2	Complete	1	1385031	1385456	+	44.9	86	https://www.orthodb.org/v10?query=2075502at2	Putative pre-16S rRNA nuclease
