#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1_2079               -            608 143460at2            -            439  1.1e-147  490.0   3.1   1   1  1.5e-144    7e-142  470.9   3.1     1   439     7   590     7   590 0.83 # 2322496 # 2324319 # 1 # ID=1_2079;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.327
1_25                 -            643 143460at2            -            439   8.1e-17   58.8   1.0   3   4     0.021       9.8    2.5   0.0   182   280   308   416   300   430 0.66 # 43647 # 45575 # 1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.306
1_25                 -            643 143460at2            -            439   8.1e-17   58.8   1.0   4   4      0.98   4.6e+02   -3.0   0.0   295   317   555   578   550   581 0.80 # 43647 # 45575 # 1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.306
1_1197               -            647 143460at2            -            439   4.7e-15   53.0   2.1   1   2     1e-17   4.7e-15   53.0   2.1     4   119   151   266   150   360 0.81 # 1409464 # 1411404 # 1 # ID=1_1197;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.337
1_1197               -            647 143460at2            -            439   4.7e-15   53.0   2.1   2   2      0.43     2e+02   -1.8   0.0   149   199   546   599   525   605 0.75 # 1409464 # 1411404 # 1 # ID=1_1197;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.337
1_2471               -            628 143460at2            -            439   3.3e-11   40.3   2.9   1   1   1.2e-13   5.6e-11   39.5   2.9     3   129     3   136     1   230 0.74 # 2752794 # 2754677 # -1 # ID=1_2471;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.284
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/143460at2.hmm
# Target file:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op2/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op2/run_bacteria_odb10/hmmer_output/143460at2.out --cpu 1 /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_downloads/lineages/bacteria_odb10/hmms/143460at2.hmm /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3/busco_op2/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/johngn/Microbial-Genomics-Journey-Workshop-2023/Reads_session_3
# Date:            Wed Mar  1 18:12:12 2023
# [ok]
